Sweep Settings:
Start Voltage (V): 1.05
End Voltage (V): -0.05
Scan Rate (mV/s): 1.0

Analysis Variables:
Cell Area(cm2): 0.0
Power (mWcm-2): 0.0

Voltage(V)   Current (A)
7.84940e-01   -1.51525e-01
7.80522e-01   -1.56761e-01
7.76104e-01   -1.56805e-01
7.71687e-01   -1.47255e-01
7.67269e-01   -1.44361e-01
7.62851e-01   -1.42942e-01
7.58434e-01   -1.57477e-01
7.54016e-01   -1.42654e-01
7.49598e-01   -1.44270e-01
7.45181e-01   -1.55571e-01
7.40763e-01   -1.46846e-01
7.36345e-01   -1.40672e-01
7.31928e-01   -1.42499e-01
7.27510e-01   -1.46287e-01
7.23092e-01   -1.39350e-01
7.18675e-01   -1.48144e-01
7.14257e-01   -1.56972e-01
7.09839e-01   -1.48698e-01
7.05422e-01   -1.42009e-01
7.01004e-01   -1.42211e-01
6.96586e-01   -1.43011e-01
6.92169e-01   -1.39196e-01
6.87751e-01   -1.48055e-01
6.83333e-01   -1.46610e-01
6.78916e-01   -1.39670e-01
6.74498e-01   -1.50512e-01
6.70080e-01   -1.45188e-01
6.65663e-01   -1.52684e-01
6.61245e-01   -1.53510e-01
6.56827e-01   -1.40535e-01
6.52410e-01   -1.45153e-01
6.47992e-01   -1.52980e-01
6.43574e-01   -1.54584e-01
6.39157e-01   -1.44276e-01
6.34739e-01   -1.58418e-01
6.30321e-01   -1.54147e-01
6.25904e-01   -1.48063e-01
6.21486e-01   -1.46990e-01
6.17068e-01   -1.55519e-01
6.12651e-01   -1.46614e-01
6.08233e-01   -1.53226e-01
6.03815e-01   -1.43802e-01
5.99398e-01   -1.50576e-01
5.94980e-01   -1.52562e-01
5.90562e-01   -1.41939e-01
5.86145e-01   -1.49058e-01
5.81727e-01   -1.48358e-01
5.77309e-01   -1.44711e-01
5.72892e-01   -1.52119e-01
5.68474e-01   -1.57850e-01
5.64056e-01   -1.44743e-01
5.59639e-01   -1.47834e-01
5.55221e-01   -1.49801e-01
5.50803e-01   -1.50771e-01
5.46386e-01   -1.46240e-01
5.41968e-01   -1.42535e-01
5.37550e-01   -1.49155e-01
5.33133e-01   -1.42956e-01
5.28715e-01   -1.39575e-01
5.24297e-01   -1.45144e-01
5.19880e-01   -1.57291e-01
5.15462e-01   -1.50038e-01
5.11044e-01   -1.46805e-01
5.06627e-01   -1.54528e-01
5.02209e-01   -1.49181e-01
4.97791e-01   -1.44780e-01
4.93373e-01   -1.57647e-01
4.88956e-01   -1.49012e-01
4.84538e-01   -1.46795e-01
4.80120e-01   -1.50923e-01
4.75703e-01   -1.40100e-01
4.71285e-01   -1.40845e-01
4.66867e-01   -1.55030e-01
4.62450e-01   -1.53430e-01
4.58032e-01   -1.51896e-01
4.53614e-01   -1.58563e-01
4.49197e-01   -1.45733e-01
4.44779e-01   -1.48841e-01
4.40361e-01   -1.56371e-01
4.35944e-01   -1.39933e-01
4.31526e-01   -1.45919e-01
4.27108e-01   -1.56963e-01
4.22691e-01   -1.58037e-01
4.18273e-01   -1.50580e-01
4.13855e-01   -1.48720e-01
4.09438e-01   -1.56282e-01
4.05020e-01   -1.58911e-01
4.00602e-01   -1.54400e-01
3.96185e-01   -1.53747e-01
3.91767e-01   -1.41216e-01
3.87349e-01   -1.55934e-01
3.82932e-01   -1.39072e-01
3.78514e-01   -1.53584e-01
3.74096e-01   -1.42791e-01
3.69679e-01   -1.40707e-01
3.65261e-01   -1.52295e-01
3.60843e-01   -1.42731e-01
3.56426e-01   -1.50035e-01
3.52008e-01   -1.40791e-01
3.47590e-01   -1.41633e-01
3.43173e-01   -1.49047e-01
3.38755e-01   -1.51443e-01
3.34337e-01   -1.48308e-01
3.29920e-01   -1.57392e-01
3.25502e-01   -1.41045e-01
3.21084e-01   -1.52802e-01
3.16667e-01   -1.49334e-01
3.12249e-01   -1.57682e-01
3.07831e-01   -1.49262e-01
3.03414e-01   -1.56062e-01
2.98996e-01   -1.58256e-01
2.94578e-01   -1.55272e-01
2.90161e-01   -1.45914e-01
2.85743e-01   -1.56472e-01
2.81325e-01   -1.45761e-01
2.76908e-01   -1.40188e-01
2.72490e-01   -1.55356e-01
2.68072e-01   -1.49941e-01
2.63655e-01   -1.39851e-01
2.59237e-01   -1.53540e-01
2.54819e-01   -1.42392e-01
2.50402e-01   -1.51737e-01
2.45984e-01   -1.40821e-01
2.41566e-01   -1.42451e-01
2.37149e-01   -1.41669e-01
2.32731e-01   -1.41067e-01
2.28313e-01   -1.55675e-01
2.23896e-01   -1.40201e-01
2.19478e-01   -1.56954e-01
2.15060e-01   -1.55046e-01
2.10643e-01   -1.47926e-01
2.06225e-01   -1.44023e-01
2.01807e-01   -1.46005e-01
1.97390e-01   -1.52422e-01
1.92972e-01   -1.44878e-01
1.88554e-01   -1.39152e-01
1.84137e-01   -1.46049e-01
1.79719e-01   -1.56058e-01
1.75301e-01   -1.43173e-01
1.70884e-01   -1.40362e-01
1.66466e-01   -1.46519e-01
1.62048e-01   -1.55865e-01
1.57631e-01   -1.52836e-01
1.53213e-01   -1.56423e-01
1.48795e-01   -1.48949e-01
1.44378e-01   -1.44464e-01
1.39960e-01   -1.39803e-01
1.35542e-01   -1.43334e-01
1.31124e-01   -1.45598e-01
1.26707e-01   -1.53921e-01
1.22289e-01   -1.46004e-01
1.17871e-01   -1.56143e-01
1.13454e-01   -1.54958e-01
1.09036e-01   -1.49375e-01
1.04618e-01   -1.58457e-01
1.00201e-01   -1.40023e-01
9.57831e-02   -1.44778e-01
9.13655e-02   -1.44185e-01
8.69478e-02   -1.43603e-01
8.25301e-02   -1.57387e-01
7.81124e-02   -1.55844e-01
7.36948e-02   -1.50623e-01
6.92771e-02   -1.52647e-01
6.48594e-02   -1.54691e-01
6.04418e-02   -1.57814e-01
5.60241e-02   -1.55639e-01
5.16064e-02   -1.43220e-01
4.71888e-02   -1.51326e-01
4.27711e-02   -1.51388e-01
3.83534e-02   -1.53466e-01
3.39357e-02   -1.58521e-01
2.95181e-02   -1.48269e-01
2.51004e-02   -1.52132e-01
2.06827e-02   -1.55163e-01
1.62651e-02   -1.43717e-01
1.18474e-02   -1.44118e-01
7.42972e-03   -1.45038e-01
3.01205e-03   -1.47362e-01
-1.40562e-03   -1.39179e-01
-5.82329e-03   -1.48728e-01
-1.02410e-02   -1.52923e-01
-1.46586e-02   -1.49560e-01
-1.90763e-02   -1.43357e-01
-2.34940e-02   -1.57356e-01
-2.79116e-02   -1.39344e-01
-3.23293e-02   -1.57263e-01
-3.67470e-02   -1.41642e-01
-4.11647e-02   -1.50926e-01
-4.55823e-02   -1.44342e-01
-5.00000e-02   -1.45808e-01
